,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name
19953,119969,Kagiso,Kelebeile,U,19860312,BOT,,,Kagiso Kelebeile
19954,119970,Ernest,Seleke,R,19860325,BOT,,,Ernest Seleke
19955,119971,Wesley,Baptiste,U,19890811,RSA,,,Wesley Baptiste
19956,119972,Rikus,Becker,U,19881202,RSA,,,Rikus Becker
19957,119973,David,Budler,U,19841020,RSA,,,David Budler
19958,119974,Eddy,Roy Balummel,U,19891015,GER,,,Eddy Roy Balummel
19959,119975,Tshepang,Tangane,U,,BOT,,,Tshepang Tangane
19960,119976,Yaseen,Obaray,U,19870225,RSA,,,Yaseen Obaray
19961,119977,Serdarguly,Mamedkuliyev,U,19880930,TKM,,,Serdarguly Mamedkuliyev
19962,119978,Mpiloenhle,Migogo,R,19880506,RSA,,,Mpiloenhle Migogo
19963,119979,Fabian,Poth,R,19841215,GER,,,Fabian Poth
19964,119980,Alexander,Farquharson,U,19840503,GBR,,,Alexander Farquharson
19965,119981,Daniel,Hwang,U,19880730,USA,,,Daniel Hwang
19966,119982,Nikola,Aracic,R,19770901,CRO,,,Nikola Aracic
19967,119983,Manuel Alfredo,Rodriguez,U,19850328,VEN,,,Manuel Alfredo Rodriguez
19968,119984,Claudio,Romano,R,19900415,VEN,,,Claudio Romano
19969,119985,Alexander,Rojas,R,19900425,VEN,,,Alexander Rojas
19970,119986,Leonel,Vivas,U,19890926,VEN,,,Leonel Vivas
19971,119987,Gabriel,Perez,U,19881026,COL,,,Gabriel Perez
19972,119988,Daniel,Robles,U,19890409,COL,,,Daniel Robles
19973,119989,Diego,Medrano,R,19871220,COL,,,Diego Medrano
19974,119990,Arturo,Santa,L,19901222,COL,,,Arturo Santa
19975,119991,Sebastian,Salazar,R,19900929,COL,,,Sebastian Salazar
19976,119992,Mauricio,Mejia,U,19880924,COL,,,Mauricio Mejia
19977,119993,Jhon,Bolivar,U,19780904,COL,,,Jhon Bolivar
19978,119994,Magin,Ortiga,U,19900525,COL,,,Magin Ortiga
19979,119995,Yovanny,Monroy,U,19750531,COL,,,Yovanny Monroy
19980,119996,Kinshuk,Sharma,R,19890730,IND,,,Kinshuk Sharma
19981,119997,Steeve,Noblecourt,U,19810507,FRA,,,Steeve Noblecourt
19982,119998,Alex,Platevoet,U,19860302,BEL,,,Alex Platevoet
19983,119999,Derek,Schwandt,U,19821127,USA,,,Derek Schwandt
19984,120000,Eduardo,De La Paz,R,19840127,MEX,,,Eduardo De La Paz
19985,120001,Nathan,Rosenfeld,R,19870907,USA,,,Nathan Rosenfeld
19986,120002,Luis David,Viruega Diaz,U,19880628,MEX,,,Luis David Viruega Diaz
19987,120003,Alfonso,De La Pena,R,19900203,MEX,,,Alfonso De La Pena
19988,120004,Andreas,Eichenberger,U,19860628,SUI,,,Andreas Eichenberger
19989,120005,Guillaume,St Maurice,U,19880322,CAN,,,Guillaume St Maurice
19990,120006,Vijit,Sehgal,U,19870918,IND,,,Vijit Sehgal
19991,120007,Pedro,Posselt,U,19871027,BRA,,,Pedro Posselt
19992,120008,Carlos,Nedel,R,19871124,BRA,,,Carlos Nedel
19993,120009,Damian Dario,Iturriaga,U,19870323,ARG,,,Damian Dario Iturriaga
19994,120010,Juan Pablo,Blariza,U,19880816,ARG,,,Juan Pablo Blariza
19995,120011,Stefano,Licata,R,19890725,ARG,,,Stefano Licata
19996,120012,Kevin,Casey,U,19830609,USA,,,Kevin Casey
19997,120013,Roberto,Lau,U,19891113,CHI,,,Roberto Lau
